posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia
1,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.679, r=0.220)",1,0.12562169113371924,0.014149424085620673,0.7710986992182636,0.4814584436933363,0.6800702374565378,0.369437402829285,10,0.9810436616202899
2,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.676, r=0.189)",1,0.1243209044958437,0.012683872740894568,0.8209796024488025,0.43159054339472464,0.7497875587277546,0.33161634398626827,3,0.919796019304816
3,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.690, r=0.187)",1,0.12056415515677592,0.01147699113981668,0.8595250329888304,0.3905243251613205,0.8036615664231734,0.3000371305383342,2,0.9347421246364149
4,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.634, r=0.183)",1,0.12014914566534121,0.014572430167480587,0.7403661198734295,0.49585195176919217,0.6371160612305311,0.3771656468156969,3,0.9167711538102256
5,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.691, r=0.217) Y alcohol=0",2,0.07660634716716491,0.01210598902568141,0.8106463910576353,0.41192705797802853,0.7353450813132649,0.3125322346496928,1,0.0
6,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.668, r=0.243) Y glucosa=1",2,0.06916696087160962,0.014076528459952253,0.7040164084204605,0.47897804489590146,0.5863109565240243,0.35390926999728756,1,0.0
7,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.668, r=0.177) Y fumador=0",2,0.06457289381733153,0.010275719593904505,0.8183353411738274,0.3496489986852611,0.7460917392679416,0.25964458692716474,1,0.0
8,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.615, r=0.119) Y glucosa=1",2,0.06378625366778407,0.010271949160548384,0.8133365363972859,0.34952070321791895,0.7391050318106301,0.25890604551097307,1,0.0
9,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.678, r=0.182) Y actividad_fisica=1",2,0.0631289488427639,0.009354316815901882,0.8549805542003721,0.3182966874655639,0.7973098593131225,0.23753230229894226,1,0.0
10,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.602, r=0.169) Y glucosa=1",2,0.06159394819710966,0.013018430509412473,0.6975127054586263,0.44297444577700174,0.5772208895950607,0.3201232802245939,1,0.0
