regla_id_dominante,soporte_busqueda,confianzas_superadas,mejor_confianza_minima,particula,metodo_similitud,consecuente_dominante,consecuente_anomalo,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso
RD_0138,0.001,0.60,0.6,23,triangular,0,1,"presion_sistolica(c=0.679, r=0.220)",1,0.12562169113371924,0.014149424085620673,0.7710986992182636,0.4814584436933363,0.6800702374565378,0.369437402829285
RD_0138,0.001,0.60,0.6,3,triangular,0,1,"presion_sistolica(c=0.691, r=0.238)",1,0.1255296634288294,0.01422430738261543,0.7682816950369623,0.4840064764197255,0.676132979451757,0.3713164931863411
RD_0138,0.001,0.60,0.6,4,triangular,0,1,"presion_sistolica(c=0.678, r=0.224)",1,0.12552171185167216,0.014313740786905029,0.7652664696399964,0.4870496015238226,0.6719186724907575,0.3736217402215407
RD_0138,0.001,0.60,0.6,17,triangular,0,1,"presion_sistolica(c=0.672, r=0.204)",1,0.1253952474152672,0.013750640187887379,0.7842174762161991,0.4678891370126671,0.6984060319473353,0.3590898178975719
RD_0138,0.001,0.60,0.6,19,triangular,0,1,"presion_sistolica(c=0.667, r=0.208)",1,0.1252897167712021,0.014220708919614964,0.767652374844094,0.48388403253894224,0.6752533939746078,0.3710894840046179
RD_0138,0.001,0.60,0.6,27,triangular,0,1,"presion_sistolica(c=0.699, r=0.232)",1,0.1252693597692909,0.013613212746812138,0.7887275866461964,0.46321293241942973,0.7047097032414085,0.3555204623779051
RD_0138,0.001,0.60,0.6,2,triangular,0,1,"presion_sistolica(c=0.674, r=0.196)",1,0.12506655603298392,0.013308413192580772,0.7992570254322343,0.45284160436178894,0.7194264428974455,0.3476840676839347
RD_0138,0.001,0.60,0.6,1,triangular,0,1,"presion_sistolica(c=0.667, r=0.188)",1,0.1248642309945281,0.013220816166347585,0.8018729273196449,0.4498609651734241,0.7230826251332741,0.3453664260609606
RD_0138,0.001,0.60,0.6,14,triangular,0,1,"presion_sistolica(c=0.667, r=0.190)",1,0.12479792601043747,0.0133573807800345,0.7965362012521223,0.45450781058362716,0.7156236133333804,0.3487809057309547
RD_0138,0.001,0.60,0.6,15,triangular,0,1,"presion_sistolica(c=0.650, r=0.198)",1,0.12474324975758053,0.014663753426321584,0.7514894967015651,0.498959382418562,0.6526629335949664,0.38225933582737964
RD_0138,0.001,0.60,0.6,18,triangular,0,1,"presion_sistolica(c=0.676, r=0.189)",1,0.1243209044958437,0.012683872740894568,0.8209796024488025,0.43159054339472464,0.7497875587277546,0.33161634398626827
RD_0138,0.001,0.60,0.6,28,triangular,0,1,"presion_sistolica(c=0.696, r=0.216)",1,0.12351855168366314,0.012907409399572339,0.8093222273199616,0.4391967619336672,0.7334943299688392,0.3367948370886808
RD_0138,0.001,0.60,0.6,13,triangular,0,1,"presion_sistolica(c=0.644, r=0.151)",1,0.12326123085840524,0.012346442188242516,0.8311074561544034,0.42010888960080534,0.7639430127161854,0.32269744943448647
