indice_dominante,regla_id_dominante,metodo_similitud,consecuente_dominante,soporte_minimo,estado,tiempo_segundos,gbest_fitness,soporte_anomalo_gbest,confianza_anomala_gbest,confianza_inversa_gbest,cf_directo_gbest,cf_inverso_gbest,numero_condiciones_gbest,pbest_fitness_positivo,pbest_aceptados_conf_60
0,RD_0459,gaussiana,1,0.001,ejecutado,1.331618,0.023790255024851548,0.026659543697664902,0.48748425200326867,0.5227361509346059,0.20642722890828696,0.2304953193497672,1,35,2
1,RD_0458,triangular,1,0.001,ejecutado,1.30851,0.03204726706442306,0.02471684831638944,0.5288322696287676,0.484644084635087,0.2704499658768015,0.236992206381136,1,35,0
2,RD_0076,triangular,1,0.001,ejecutado,1.302071,0.010617645853190222,0.0035,0.5833333333333334,0.1206896551724138,0.4420077972709552,0.07206419831558876,2,35,18
3,RD_0077,gaussiana,1,0.001,ejecutado,1.323919,0.01039706725044589,0.003336196925450431,0.5073283306451675,0.11504127329139417,0.3402233199868032,0.06111907467629895,1,35,4
4,RD_0561,gaussiana,1,0.001,ejecutado,1.303899,0.048971888644019794,0.016,0.5818181818181818,0.5245901639344263,0.33887445887445883,0.2890267316496825,1,35,8
5,RD_0735,triangular,1,0.001,ejecutado,1.209801,0.06639346972069729,0.022939967576120546,0.5892174370119264,0.5807586728131784,0.3684567398958869,0.36038678374811534,1,35,6
6,RD_0736,gaussiana,1,0.001,ejecutado,1.248716,0.0439782297764041,0.015639228246599253,0.6108334605275101,0.3959298290278292,0.40168953795385903,0.21896626932541996,1,35,7
7,RD_1180,triangular,0,0.001,ejecutado,1.03221,0.044088541679340856,0.010749115898210378,0.7198331504649457,0.3027919971326867,0.537339147556791,0.1640994961182543,1,35,35
8,RD_1181,gaussiana,0,0.001,ejecutado,1.066403,0.04408707890243452,0.00900938320206097,0.7698122773535432,0.2537854423115766,0.6198734855379612,0.14224540952634315,1,35,34
9,RD_0138,triangular,0,0.001,ejecutado,1.287385,0.12562169113371924,0.014149424085620673,0.7710986992182636,0.4814584436933363,0.6800702374565378,0.369437402829285,1,35,35
10,RD_0146,triangular,0,0.001,ejecutado,1.296982,0.02167862337661226,0.012518792947045568,0.6280028498418679,0.1573852679666735,0.4755423862717008,0.09117430539294216,1,35,27
11,RD_0560,triangular,1,0.001,ejecutado,1.284473,0.048971888644019794,0.016,0.5818181818181818,0.5245901639344263,0.33887445887445883,0.2890267316496825,1,35,10
12,RD_0819,triangular,1,0.001,ejecutado,1.274316,0.03573264280293565,0.019263134927749833,0.5500577157656931,0.5003411669545411,0.28759138329568074,0.24849592079883648,1,35,4
13,RD_0820,gaussiana,1,0.001,ejecutado,1.258445,0.03609463389198795,0.005913450823299022,0.8553550038482032,0.15359612528049407,0.7709787560929885,0.09363327745864515,1,35,34
14,RD_0018,gaussiana,1,0.001,ejecutado,1.32303,0.021424510714502496,0.000920780601337056,0.7106942458902702,0.12405360824312472,0.6689636373686596,0.10434544472720815,2,35,0
15,RD_0017,triangular,1,0.001,ejecutado,1.302964,0.018785591215922173,0.0008267836213704736,0.7343087810622774,0.11580363077944225,0.6961094460101613,0.0979212008229413,2,35,0
16,RD_0039,gaussiana,0,0.001,ejecutado,1.28911,0.021319106620344083,0.0017009123348477823,0.5187202572427392,0.16563101860636328,0.39589270143213245,0.10770143800692825,1,35,1
17,RD_0052,triangular,0,0.001,ejecutado,1.303962,0.021875820798249984,0.002784498000192274,0.5420498080137445,0.16678202417116506,0.4123917579730591,0.10609242486208513,1,35,29
18,RD_0247,gaussiana,0,0.001,ejecutado,1.072652,0.04076431470975565,0.0010516851526793606,0.8456594818473829,0.1730300754678452,0.820916066878435,0.1489713127363807,2,35,21
19,RD_0250,triangular,1,0.001,ejecutado,1.208748,0.00985966917028428,0.0025,0.625,0.09615384615384616,0.49754901960784315,0.059449433814916054,2,35,32
20,RD_0251,gaussiana,1,0.001,ejecutado,1.23173,0.00985966917028428,0.0025,0.625,0.09615384615384616,0.49754901960784315,0.059449433814916054,2,35,33
21,RD_0279,gaussiana,0,0.001,ejecutado,1.2973810000000001,0.023180141674318304,0.020235358393235127,0.6648597508837301,0.16377873953806532,0.5055795658512856,0.0916973044006951,1,35,35
22,RD_0282,gaussiana,1,0.001,ejecutado,1.053555,0.06207864312202589,0.0009245733612334099,0.5974131634871251,0.3140753870909216,0.5261796512972575,0.2552094703757543,1,35,0
23,RD_0311,triangular,0,0.001,ejecutado,1.034171,0.032357778979756883,0.0014440669622427626,0.8253291173502839,0.14682134033005614,0.7929666911577025,0.12241792501718719,2,35,33
24,RD_0356,triangular,0,0.001,ejecutado,1.2773729999999999,0.024192264388755224,0.02473756271560895,0.6791070798452079,0.1693668632642573,0.5171895921486904,0.09355278898110549,1,35,35
25,RD_0498,triangular,0,0.001,ejecutado,1.007496,0.0777792080976426,0.0016394514628802546,0.5283707343668992,0.5130001802530816,0.40183301694028306,0.38712203735713174,1,35,0
26,RD_0732,gaussiana,0,0.001,ejecutado,1.310197,0.021820617765406343,0.03055786158093444,0.6974537456902549,0.17640184872890105,0.5046670213520935,0.08647530685458699,1,35,35
27,RD_0763,gaussiana,1,0.001,ejecutado,1.245194,0.027546294381230026,0.0114881202497596,0.6378407328170791,0.24442809042041702,0.4387590303890407,0.12556456949412603,1,35,31
28,RD_1037,gaussiana,0,0.001,ejecutado,1.057979,0.06076721721555535,0.006837739863316149,0.7115813869414834,0.3624588239880988,0.5511144354291743,0.22052486129576174,1,35,35
29,RD_1105,triangular,0,0.001,ejecutado,1.030882,0.054105490935416015,0.006494547785692031,0.7760419402373245,0.2798746501817903,0.643262240833878,0.16822218840414954,1,35,35
30,RD_1119,gaussiana,0,0.001,ejecutado,1.076703,0.04211824260021612,0.0022923004665960692,0.7133999265961011,0.2822110562670285,0.5394833752684818,0.15614287494681503,1,35,34
31,RD_1139,triangular,0,0.001,ejecutado,1.016666,0.052847097693097,0.0036797043063292838,0.6942185888061565,0.3715777354787324,0.5044148010046399,0.20953825140674603,1,35,34
