indice_dominante,regla_id_dominante,metodo_similitud,consecuente_dominante,soporte_minimo,estado,tiempo_segundos,gbest_fitness,soporte_anomalo_gbest,confianza_anomala_gbest,confianza_inversa_gbest,cf_directo_gbest,cf_inverso_gbest,numero_condiciones_gbest,pbest_fitness_positivo,pbest_aceptados_conf_60,pbest_aceptados_conf_70,pbest_aceptados_conf_80
0,RD_0459,gaussiana,1,0.0005,ejecutado,0.005661,0.0013034080923175373,0.0013074181628620822,0.6426371671249308,0.02563565025219769,0.4466640007095703,0.011672380941799147,3,2,1,0,0
0,RD_0459,gaussiana,1,0.001,ejecutado,0.007272,0.0013034080923175373,0.0013074181628620822,0.6426371671249308,0.02563565025219769,0.4466640007095703,0.011672380941799147,3,2,1,0,0
0,RD_0459,gaussiana,1,0.002,ejecutado,0.007992,0.000852049706758683,0.0013074181628620822,0.6426371671249308,0.02563565025219769,0.4466640007095703,0.011672380941799147,3,2,0,0,0
1,RD_0458,triangular,1,0.0005,ejecutado,0.005021,0.002301401883192044,0.0021369170088137578,0.6557218550991992,0.04190033350615211,0.466924162734244,0.019715423333119878,3,2,1,0,0
1,RD_0458,triangular,1,0.001,ejecutado,0.005105,0.002301401883192044,0.0021369170088137578,0.6557218550991992,0.04190033350615211,0.466924162734244,0.019715423333119878,3,2,1,0,0
1,RD_0458,triangular,1,0.002,ejecutado,0.006308,0.002301401883192044,0.0021369170088137578,0.6557218550991992,0.04190033350615211,0.466924162734244,0.019715423333119878,3,2,1,0,0
2,RD_0076,triangular,1,0.0005,ejecutado,0.005635,4.553165079443506e-05,0.0008439730239592082,0.28959090701077905,0.029102518067558904,0.04863343687408425,0.0037448844845014793,3,1,0,0,0
2,RD_0076,triangular,1,0.001,ejecutado,0.005316,3.842748500683405e-05,0.0008439730239592082,0.28959090701077905,0.029102518067558904,0.04863343687408425,0.0037448844845014793,3,1,0,0,0
2,RD_0076,triangular,1,0.002,ejecutado,0.004903,1.9213742503417024e-05,0.0008439730239592082,0.28959090701077905,0.029102518067558904,0.04863343687408425,0.0037448844845014793,3,1,0,0,0
3,RD_0077,gaussiana,1,0.0005,ejecutado,0.004921,0.0005150586886653292,0.0008511437850287364,0.3959875694047398,0.029349785690646085,0.19111785610342347,0.010779917673136833,3,1,0,0,0
3,RD_0077,gaussiana,1,0.001,ejecutado,0.005204,0.0004383890017825458,0.0008511437850287364,0.3959875694047398,0.029349785690646085,0.19111785610342347,0.010779917673136833,3,1,0,0,0
3,RD_0077,gaussiana,1,0.002,ejecutado,0.005335,0.0002191945008912729,0.0008511437850287364,0.3959875694047398,0.029349785690646085,0.19111785610342347,0.010779917673136833,3,1,0,0,0
4,RD_0561,gaussiana,1,0.0005,ejecutado,0.005653,0.0017920572628897238,0.000491193284746093,0.8631126433707001,0.01610469786052764,0.7835876076146308,0.009311977087221894,3,3,0,0,0
4,RD_0561,gaussiana,1,0.001,ejecutado,0.005233,0.0008960286314448619,0.000491193284746093,0.8631126433707001,0.01610469786052764,0.7835876076146308,0.009311977087221894,3,3,0,0,0
4,RD_0561,gaussiana,1,0.002,ejecutado,0.005244,0.00044801431572243094,0.000491193284746093,0.8631126433707001,0.01610469786052764,0.7835876076146308,0.009311977087221894,3,3,0,0,0
5,RD_0735,triangular,1,0.0005,ejecutado,0.004691,2.6119494366089283e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0,0,0
5,RD_0735,triangular,1,0.001,ejecutado,0.004704,2.6119494366089283e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0,0,0
5,RD_0735,triangular,1,0.002,ejecutado,0.005094,1.9589620774566962e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0,0,0
6,RD_0736,gaussiana,1,0.0005,ejecutado,0.004712,2.6119494366089283e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0,0,0
6,RD_0736,gaussiana,1,0.001,ejecutado,0.00536,2.6119494366089283e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0,0,0
6,RD_0736,gaussiana,1,0.002,ejecutado,0.006245,1.9589620774566962e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0,0,0
7,RD_1180,triangular,0,0.0005,ejecutado,0.004186,0.0004848191142275914,0.0013932007240707324,0.5169406434781169,0.03924509081889387,0.20228730115652324,0.009586743437789095,3,2,0,0,0
7,RD_1180,triangular,0,0.001,ejecutado,0.004294,0.0004848191142275914,0.0013932007240707324,0.5169406434781169,0.03924509081889387,0.20228730115652324,0.009586743437789095,3,2,0,0,0
7,RD_1180,triangular,0,0.002,ejecutado,0.004427,0.00033772517049260575,0.0013932007240707324,0.5169406434781169,0.03924509081889387,0.20228730115652324,0.009586743437789095,3,2,0,0,0
8,RD_1181,gaussiana,0,0.0005,ejecutado,0.005147,0.00020090134664657713,0.0008996953671544907,0.49049768712680586,0.025343531469140583,0.15862003378738582,0.005066228819894596,3,2,0,0,0
8,RD_1181,gaussiana,0,0.001,ejecutado,0.004432,0.0001807500108330238,0.0008996953671544907,0.49049768712680586,0.025343531469140583,0.15862003378738582,0.005066228819894596,3,2,0,0,0
8,RD_1181,gaussiana,0,0.002,ejecutado,0.004359,0.0001042821636236705,0.001444831191148002,0.4369655619157346,0.04069947017318316,0.07021835912690119,0.0041115184108660024,1,2,0,0,0
9,RD_0138,triangular,0,0.0005,ejecutado,0.004625,0.0,0.0,0.0,0.0,-1.0,0.0,3,0,0,0,0
9,RD_0138,triangular,0,0.001,ejecutado,0.004738,0.0,0.0,0.0,0.0,-1.0,0.0,3,0,0,0,0
