indice_dominante,regla_id_dominante,metodo_similitud,consecuente_dominante,soporte_minimo,estado,tiempo_segundos,gbest_fitness,soporte_anomalo_gbest,confianza_anomala_gbest,confianza_inversa_gbest,cf_directo_gbest,cf_inverso_gbest,numero_condiciones_gbest,pbest_fitness_positivo,pbest_aceptados_conf_60
0,RD_0459,gaussiana,1,0.001,ejecutado,0.006342,0.0013034080923175373,0.0013074181628620822,0.6426371671249308,0.02563565025219769,0.4466640007095703,0.011672380941799147,3,2,1
1,RD_0458,triangular,1,0.001,ejecutado,0.005598,0.002301401883192044,0.0021369170088137578,0.6557218550991992,0.04190033350615211,0.466924162734244,0.019715423333119878,3,2,1
2,RD_0076,triangular,1,0.001,ejecutado,0.006304,3.842748500683405e-05,0.0008439730239592082,0.28959090701077905,0.029102518067558904,0.04863343687408425,0.0037448844845014793,3,1,0
3,RD_0077,gaussiana,1,0.001,ejecutado,0.005098,0.0004383890017825458,0.0008511437850287364,0.3959875694047398,0.029349785690646085,0.19111785610342347,0.010779917673136833,3,1,0
4,RD_0561,gaussiana,1,0.001,ejecutado,0.005449,0.0008960286314448619,0.000491193284746093,0.8631126433707001,0.01610469786052764,0.7835876076146308,0.009311977087221894,3,3,0
5,RD_0735,triangular,1,0.001,ejecutado,0.005254,2.6119494366089283e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0
6,RD_0736,gaussiana,1,0.001,ejecutado,0.00475,2.6119494366089283e-05,0.0015,0.375,0.0379746835443038,0.03911564625850342,0.0026710022064800856,3,2,0
7,RD_1180,triangular,0,0.001,ejecutado,0.004222,0.0004848191142275914,0.0013932007240707324,0.5169406434781169,0.03924509081889387,0.20228730115652324,0.009586743437789095,3,2,0
8,RD_1181,gaussiana,0,0.001,ejecutado,0.00546,0.0001807500108330238,0.0008996953671544907,0.49049768712680586,0.025343531469140583,0.15862003378738582,0.005066228819894596,3,2,0
9,RD_0138,triangular,0,0.001,ejecutado,0.006539,0.0,0.0,0.0,0.0,-1.0,0.0,3,0,0
10,RD_0146,triangular,0,0.001,ejecutado,0.00702,0.0007628092385668596,0.0009713201078766214,0.6283444081014048,0.012211359042858671,0.4760239298256494,0.006599100931238266,3,2,0
11,RD_0560,triangular,1,0.001,ejecutado,0.004905,0.0011628453154993508,0.0014550061472428045,0.5484161814011728,0.0477051195817313,0.286067486786616,0.016259734072704916,3,2,0
12,RD_0819,triangular,1,0.001,ejecutado,0.00468,0.0004916052382147518,0.0008441605045624143,0.5610432264174038,0.02192624687175102,0.3049851084942227,0.007637879975655889,3,1,0
13,RD_0820,gaussiana,1,0.001,ejecutado,0.005148,0.00018708243492809268,0.00040530895626058315,0.6322425150299892,0.010527505357417744,0.4177173154641496,0.0044200209332887225,3,1,0
14,RD_0018,gaussiana,1,0.001,ejecutado,0.005869,0.0007111836492178782,0.0009896588143113927,0.18181818181818182,0.13333333333333333,0.06380039382391028,0.045053952622911904,3,1,0
15,RD_0017,triangular,1,0.001,ejecutado,0.006386,0.0006924409458107782,0.0009519374776140397,0.18181818181818185,0.13333333333333336,0.06418538412454541,0.04533129880206218,3,1,0
16,RD_0039,gaussiana,0,0.001,ejecutado,0.004855,3.554651513422793e-06,2.5693140944035976e-05,0.5,0.002501940293200576,0.3723948414004241,0.0014860593893975445,3,1,0
17,RD_0052,triangular,0,0.001,ejecutado,0.004764,2.6510463244046487e-05,9.390860145642116e-05,0.5,0.005624808003777929,0.3584365152481727,0.0031503564030602314,3,1,0
18,RD_0247,gaussiana,0,0.001,ejecutado,0.00478,0.002850218993988449,0.0003768521034196394,0.5522618929576502,0.06200215694667769,0.4804818450961727,0.047222780872614535,2,3,0
19,RD_0250,triangular,1,0.001,ejecutado,0.005177,0.0,0.0,0.0,0.0,-1.0,0.0,3,0,0
20,RD_0251,gaussiana,1,0.001,ejecutado,0.004621,0.0,0.0,0.0,0.0,-1.0,0.0,3,0,0
21,RD_0279,gaussiana,0,0.001,ejecutado,0.004977,0.0002326782753713613,0.0012023331829674854,0.5019905314091326,0.009731313346890655,0.2653044260719512,0.0035080948903318844,3,2,0
22,RD_0282,gaussiana,1,0.001,ejecutado,0.004337,1.0035333844247838e-06,2.701324412404132e-05,0.19504305997401888,0.009176335227224866,0.052614384222159034,0.0021182238031986125,2,1,0
23,RD_0311,triangular,0,0.001,ejecutado,0.004895,0.005945362928769881,0.0006881978478060806,0.576847398005352,0.0699705298085495,0.4984471252036569,0.05199567492408161,2,3,0
24,RD_0356,triangular,0,0.001,ejecutado,0.005586,0.0003050648964100336,0.001205458944194736,0.571842385392913,0.008253230219939232,0.3558008309021758,0.00342961421013554,3,2,0
25,RD_0498,triangular,0,0.001,ejecutado,0.005366,0.009099264585554337,0.00074890643085957,0.4265636514332501,0.2343400477063788,0.2727111831397785,0.13365864092297514,2,3,0
26,RD_0732,gaussiana,0,0.001,ejecutado,0.004965,0.0002512593587986099,0.002074988547612802,0.5575327139215318,0.011978319062698056,0.2755863421031834,0.0036469058209645942,3,2,0
27,RD_0763,gaussiana,1,0.001,ejecutado,0.005139,7.842772848171073e-05,0.00040530895626058315,0.5292966404203453,0.00862359481405496,0.27054742521281583,0.0028608825070029816,3,1,0
28,RD_1037,gaussiana,0,0.001,ejecutado,0.004646,0.001167457768705843,0.0006762267096422632,0.6349938542627847,0.03584581204108666,0.43191603321444205,0.01598856638207651,3,2,0
29,RD_1105,triangular,0,0.001,ejecutado,0.005374,0.003114204903555453,0.001893632606803601,0.6073508188544678,0.08160379766079695,0.37455794549790866,0.03325738984835222,3,2,1
30,RD_1119,gaussiana,0,0.001,ejecutado,0.004757,5.299841644496014e-05,0.00014808517106933017,0.5388958945586116,0.018231149517243198,0.2590856528202638,0.005525453765179268,3,2,0
31,RD_1139,triangular,0,0.001,ejecutado,0.004496,0.0002474041356152034,0.0040896097461660345,0.3993431369714327,0.41297011987031773,0.026505078154552584,0.028002649247730136,2,1,0
