regla_id,posicion,regla,consecuente,metodo_similitud,variables_antecedente,numero_condiciones,fitness,soporte_XY,confianza,lift,factor_certeza,miembros_familia_jaccard,numero_semillas,numero_tamanos_enjambre,tamanos_enjambre,semillas,proporcion_semillas,nivel_estabilidad,es_reproducible,orden_estabilidad
RD_0001,1,presion_sistolica cercana a 91.16 con radio ±11.25 => enfermedad_cardiovascular = no,no,gaussiana,presion_sistolica,1,0.3972000460282875,0.01635721643585245,0.9282585732826033,1.8472807428509521,0.8557961272012127,2,1,2,"100, 500",13,0.5,exploratoria,False,2
RD_0004,4,presion_sistolica cercana a 79.18 con radio ±28.24 => enfermedad_cardiovascular = no,no,gaussiana,presion_sistolica,1,0.3773752125704703,0.011521314819623284,0.9135300759554963,1.817970300408948,0.8261911074482338,1,1,1,500,55,0.5,exploratoria,False,2
RD_0005,5,presion_sistolica cercana a 91.16 con radio ±11.25 => enfermedad_cardiovascular = no,no,triangular,presion_sistolica,1,0.3726861501936395,0.019906118078072445,0.9099982690244213,1.810941828904321,0.8190919980390378,2,1,2,"100, 500",13,0.5,exploratoria,False,2
RD_0009,9,presion_sistolica cercana a 77.08 con radio ±27.22 => enfermedad_cardiovascular = no,no,triangular,presion_sistolica,1,0.3471151830279372,0.013743137547998432,0.8903948737280128,1.77193009697117,0.7796881883980158,1,1,1,500,55,0.5,exploratoria,False,2
RD_0012,12,presion_sistolica cercana a 79.18 con radio ±28.24 => enfermedad_cardiovascular = no,no,triangular,presion_sistolica,1,0.34227734433957235,0.018077337078578316,0.8866180194327336,1.7644139690203655,0.7720965214728313,1,1,1,500,55,0.5,exploratoria,False,2
RD_0022,22,presion_diastolica cercana a 59.65 con radio ±6.47 => enfermedad_cardiovascular = no,no,triangular,presion_diastolica,1,0.2878682679861409,0.03783773321548912,0.8424821787134139,1.6765814501759482,0.6833812637455556,1,1,1,500,13,0.5,exploratoria,False,2
RD_0024,24,presion_diastolica cercana a 59.65 con radio ±6.47 => enfermedad_cardiovascular = no,no,gaussiana,presion_diastolica,1,0.2867470202120523,0.03923368250336486,0.8415379361896125,1.6747023605763434,0.6814832888233417,1,1,1,500,13,0.5,exploratoria,False,2
RD_0027,27,presion_diastolica cercana a 62.70 con radio ±8.70 => enfermedad_cardiovascular = no,no,gaussiana,presion_diastolica,1,0.2763631870140248,0.03154745805507688,0.8327204924404631,1.6571552088367427,0.6637597837999258,1,1,1,500,55,0.5,exploratoria,False,2
RD_0029,29,presion_sistolica cercana a 101.34 con radio ±4.89 Y colesterol = normal => enfermedad_cardiovascular = no,no,triangular,"colesterol, presion_sistolica",2,0.26942117997394366,0.015229110528274564,0.9333333333333332,1.857379767827529,0.8659966499162477,1,1,1,500,13,0.5,exploratoria,False,2
RD_0030,30,presion_sistolica cercana a 101.34 con radio ±4.89 Y colesterol = normal => enfermedad_cardiovascular = no,no,gaussiana,"colesterol, presion_sistolica",2,0.26942117997394366,0.014949744665032697,0.9333333333333332,1.857379767827529,0.8659966499162477,1,1,1,500,13,0.5,exploratoria,False,2
RD_0034,34,presion_diastolica cercana a 62.70 con radio ±8.70 => enfermedad_cardiovascular = no,no,triangular,presion_diastolica,1,0.24607505761702395,0.04602110877326094,0.8062015698049144,1.604381233442616,0.6104554166932954,1,1,1,500,55,0.5,exploratoria,False,2
RD_0039,39,presion_sistolica cercana a 102.00 con radio ±12.57 => enfermedad_cardiovascular = no,no,gaussiana,presion_sistolica,1,0.23554421306841677,0.04023852295563673,0.7966792387680318,1.5854313209314068,0.591315052800064,2,2,1,500,"13, 55",1.0,alta,True,0
RD_0052,52,presion_sistolica cercana a 102.00 con radio ±12.57 => enfermedad_cardiovascular = no,no,triangular,presion_sistolica,1,0.2168431444794727,0.05896800424895615,0.779346100399421,1.5509375132326788,0.5564745736671779,2,2,1,500,"13, 55",1.0,alta,True,0
RD_0054,54,edad_anios cercana a 41.09 con radio ±3.18 => enfermedad_cardiovascular = no,no,gaussiana,edad_anios,1,0.21392600987941335,0.04689640619346612,0.7765907868517504,1.5454543021925384,0.5509362549783928,1,1,1,500,55,0.5,exploratoria,False,2
RD_0059,59,edad_anios cercana a 41.09 con radio ±3.18 => enfermedad_cardiovascular = no,no,triangular,edad_anios,1,0.2051739988987114,0.05386394511391988,0.7682361617144291,1.528828182516277,0.5341430386219681,1,1,1,500,55,0.5,exploratoria,False,2
RD_0064,64,presion_sistolica cercana a 102.00 con radio ±17.07 Y colesterol = normal => enfermedad_cardiovascular = no,no,gaussiana,"colesterol, presion_sistolica",2,0.19668265806461815,0.05329306788379211,0.8484730987340012,1.6885036790726395,0.6954233140381935,1,1,1,500,55,0.5,exploratoria,False,2
RD_0068,68,presion_sistolica cercana a 102.00 con radio ±22.16 => enfermedad_cardiovascular = no,no,gaussiana,presion_sistolica,1,0.19478883735430888,0.09806510290166583,0.7581439294048976,1.5087441381191993,0.5138571445324576,1,1,1,500,55,0.5,exploratoria,False,2
RD_0069,69,presion_sistolica cercana a 98.35 con radio ±12.84 Y alcohol = no => enfermedad_cardiovascular = no,no,gaussiana,"alcohol, presion_sistolica",2,0.1910928842450818,0.02962702441553345,0.8414471638662665,1.6745217191368489,0.681300831891993,1,1,1,500,55,0.5,exploratoria,False,2
RD_0072,72,presion_sistolica cercana a 102.00 con radio ±17.07 Y colesterol = normal => enfermedad_cardiovascular = no,no,triangular,"colesterol, presion_sistolica",2,0.18999642875876657,0.06850765753506692,0.8400591646895954,1.671759531720588,0.6785108837981818,1,1,1,500,55,0.5,exploratoria,False,2
RD_0074,74,presion_sistolica cercana a 102.00 con radio ±9.62 Y colesterol = normal Y actividad_fisica = si => enfermedad_cardiovascular = no,no,gaussiana,"actividad_fisica, colesterol, presion_sistolica",3,0.1876828589685121,0.01614583336474171,0.9120188338952883,1.8149628535229618,0.8231534349654036,1,1,1,500,13,0.5,exploratoria,False,2
RD_0075,75,presion_sistolica cercana a 102.00 con radio ±9.18 Y colesterol = normal Y alcohol = no => enfermedad_cardiovascular = no,no,gaussiana,"alcohol, colesterol, presion_sistolica",3,0.1868269495127653,0.019199618023876208,0.9107287275040817,1.8123954776200633,0.8205602562896116,1,1,1,500,13,0.5,exploratoria,False,2
RD_0078,78,presion_sistolica cercana a 102.00 con radio ±10.70 Y colesterol = normal Y glucosa = normal => enfermedad_cardiovascular = no,no,gaussiana,"colesterol, glucosa, presion_sistolica",3,0.1836774999429353,0.0237922546948542,0.9059596970310133,1.8029048697134595,0.8109742653889715,1,1,1,100,13,0.5,exploratoria,False,2
RD_0080,80,presion_sistolica cercana a 98.35 con radio ±12.84 Y alcohol = no => enfermedad_cardiovascular = no,no,triangular,"alcohol, presion_sistolica",2,0.18059674029471262,0.03701052449849017,0.8280230900361585,1.6478071443505644,0.6543177689169015,1,1,1,500,55,0.5,exploratoria,False,2
RD_0081,81,presion_sistolica cercana a 94.00 con radio ±38.72 => enfermedad_cardiovascular = no,no,gaussiana,presion_sistolica,1,0.1801317491607807,0.12015656012813335,0.743548337306736,1.4796981836949972,0.48451927096831354,1,1,1,500,55,0.5,exploratoria,False,2
RD_0083,83,presion_diastolica cercana a 63.00 con radio ±6.49 Y sexo = mujer Y colesterol = normal => enfermedad_cardiovascular = no,no,gaussiana,"colesterol, presion_diastolica, sexo",3,0.17820106755923798,0.01095499886421121,0.8975832630639425,1.7862353493809804,0.7941372121888293,1,1,1,500,55,0.5,exploratoria,False,2
