dominante_id,regla_id,posicion,regla,consecuente,metodo_similitud,variables_antecedente,numero_condiciones,fitness,soporte_XY,confianza,lift,factor_certeza,miembros_familia_jaccard,numero_semillas,numero_tamanos_enjambre,tamanos_enjambre,semillas,proporcion_semillas,nivel_estabilidad,es_reproducible,orden_estabilidad
RD_REP_001,RD_0459,459,colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,si,gaussiana,colesterol,1,0.09532200110558323,0.093,0.6458333333333334,1.2981574539363485,0.29519071310116096,12,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_002,RD_0458,458,colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,si,triangular,colesterol,1,0.09532200110558323,0.093,0.6458333333333334,1.2981574539363485,0.29519071310116096,10,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_003,RD_0076,76,colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,triangular,colesterol,1,0.18517654666352842,0.0855,0.7467248908296944,1.5009545544315466,0.4959699319993919,8,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_004,RD_0077,77,colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,gaussiana,colesterol,1,0.18517654666352842,0.0855,0.7467248908296944,1.5009545544315466,0.4959699319993919,8,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_005,RD_0561,561,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,gaussiana,glucosa,1,0.08498568992748552,0.0525,0.6325301204819277,1.2714173276018648,0.26871665767547803,5,2,2,"100, 500","13, 55",1.0,alta,True,0
RD_REP_006,RD_0735,735,colesterol = arriba_de_lo_normal Y actividad_fisica = si => enfermedad_cardiovascular = si,si,triangular,"actividad_fisica, colesterol",2,0.06599023832984809,0.0735,0.6504424778761061,1.3074220660826252,0.3043631400519525,5,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_007,RD_0736,736,colesterol = arriba_de_lo_normal Y actividad_fisica = si => enfermedad_cardiovascular = si,si,gaussiana,"actividad_fisica, colesterol",2,0.06599023832984809,0.0735,0.6504424778761061,1.3074220660826252,0.3043631400519525,5,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_008,RD_1180,1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,no,triangular,"actividad_fisica, alcohol, colesterol, sexo",4,0.02508778460202249,0.0545,0.6055555555555556,1.2050856826976233,0.20714684533780034,5,2,1,500,"13, 55",1.0,alta,True,0
RD_REP_009,RD_1181,1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,no,gaussiana,"actividad_fisica, alcohol, colesterol, sexo",4,0.02508778460202249,0.0545,0.6055555555555556,1.2050856826976233,0.20714684533780034,5,2,1,500,"13, 55",1.0,alta,True,0
RD_REP_010,RD_0138,138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,no,triangular,edad_anios,1,0.15314270713645992,0.07390111867052196,0.7154736057125678,1.4238280710697868,0.42808764967350316,4,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_011,RD_0146,146,presion_sistolica cercana a 102.00 con radio ±27.78 => enfermedad_cardiovascular = no,no,triangular,presion_sistolica,1,0.14741922649021053,0.19407998750010744,0.709298788730807,1.4115398780712578,0.4156759572478533,4,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_012,RD_0560,560,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,triangular,glucosa,1,0.08498568992748552,0.0525,0.6325301204819277,1.2714173276018648,0.26871665767547803,4,2,2,"100, 500","13, 55",1.0,alta,True,0
RD_REP_013,RD_0819,819,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,si,triangular,"colesterol, sexo",2,0.05617342649632727,0.066,0.6315789473684211,1.2695054218460726,0.2668237758575545,4,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
RD_REP_014,RD_0820,820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,si,gaussiana,"colesterol, sexo",2,0.05617342649632727,0.066,0.6315789473684211,1.2695054218460726,0.2668237758575545,4,2,3,"50, 100, 500","13, 55",1.0,alta,True,0
