tamano_enjambre,numero_particulas,numero_iteraciones,configuracion,configuracion_completa,semilla,valor_consecuente,metodo_similitud,regla_gbest,fitness_gbest,soporte_XY_gbest,confianza_gbest,lift_gbest,factor_certeza_gbest,numero_condiciones_gbest,reglas_dominantes_pbest
enjambre_50,50,1,cardio_si_triangular,enjambre_50__cardio_si_triangular,55,1,triangular,presion_diastolica cercana a 100.49 con radio ±14.49 => enfermedad_cardiovascular = si,0.25536839164532626,0.09515489721255699,0.8131273525785322,1.6344268393538335,0.6281141344846413,1,14
enjambre_50,50,1,cardio_si_triangular,enjambre_50__cardio_si_triangular,13,1,triangular,colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.18517654666352842,0.0855,0.7467248908296944,1.5009545544315466,0.4959699319993919,1,18
enjambre_50,50,1,cardio_si_gaussiana,enjambre_50__cardio_si_gaussiana,55,1,gaussiana,presion_diastolica cercana a 100.49 con radio ±14.49 => enfermedad_cardiovascular = si,0.28708311594331376,0.06884552904532,0.8406917995234247,1.6898327628611551,0.6829687552704969,1,12
enjambre_50,50,1,cardio_si_gaussiana,enjambre_50__cardio_si_gaussiana,13,1,gaussiana,colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.18517654666352842,0.0855,0.7467248908296944,1.5009545544315466,0.4959699319993919,1,18
enjambre_50,50,1,cardio_no_triangular,enjambre_50__cardio_no_triangular,55,0,triangular,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.15314270713645992,0.07390111867052196,0.7154736057125678,1.4238280710697868,0.42808764967350316,1,13
enjambre_50,50,1,cardio_no_triangular,enjambre_50__cardio_no_triangular,13,0,triangular,presion_sistolica cercana a 105.19 con radio ±23.69 => enfermedad_cardiovascular = no,0.1419846462021954,0.2005041135978403,0.7033576038634878,1.3997166246039559,0.40373387711253833,1,14
enjambre_50,50,1,cardio_no_gaussiana,enjambre_50__cardio_no_gaussiana,55,0,gaussiana,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.15952825579957453,0.061359906726224725,0.7222671727448763,1.4373476074524902,0.4417430607937212,1,9
enjambre_50,50,1,cardio_no_gaussiana,enjambre_50__cardio_no_gaussiana,13,0,gaussiana,presion_sistolica cercana a 105.19 con radio ±23.69 => enfermedad_cardiovascular = no,0.1624638680211201,0.1497549733420638,0.7253576999807264,1.443497910409406,0.44795517584065614,1,13
enjambre_100,100,1,cardio_si_triangular,enjambre_100__cardio_si_triangular,55,1,triangular,presion_diastolica cercana a 100.49 con radio ±14.49 => enfermedad_cardiovascular = si,0.25536839164532626,0.09515489721255699,0.8131273525785322,1.6344268393538335,0.6281141344846413,1,31
enjambre_100,100,1,cardio_si_triangular,enjambre_100__cardio_si_triangular,13,1,triangular,colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.18517654666352842,0.0855,0.7467248908296944,1.5009545544315466,0.4959699319993919,1,28
